ID,date,store_nbr,item_nbr,perishable,unit_sales,,,,,,,,,,city,type_store,cluster,family
178,1,14,103501,0,12,,,,,,,,,,Riobamba,C,7,CLEANING
179,1,14,103501,0,12,,,,,,,,,,Riobamba,C,7,CLEANING
180,1,54,103501,0,12,,,,,,,,,,El Carmen,C,3,CLEANING
181,1,16,103501,0,11,,,,,,,,,,Santo Domingo,C,3,CLEANING
182,1,33,103501,0,11,,,,,,,,,,Quevedo,C,3,CLEANING
183,1,54,103501,0,11,,,,,,,,,,El Carmen,C,3,CLEANING
184,1,16,103501,0,11,,,,,,,,,,Santo Domingo,C,3,CLEANING
185,1,17,103501,0,11,,,,,,,,,,Quito,C,12,CLEANING
186,1,40,103501,0,11,,,,,,,,,,Machala,C,3,CLEANING
187,1,33,103501,0,11,,,,,,,,,,Quevedo,C,3,CLEANING
188,1,14,103501,0,11,,,,,,,,,,Riobamba,C,7,CLEANING
189,1,54,103501,0,11,,,,,,,,,,El Carmen,C,3,CLEANING
190,1,10,103501,0,11,,,,,,,,,,Quito,C,15,CLEANING
191,1,40,103501,0,11,,,,,,,,,,Machala,C,3,CLEANING
192,1,54,103501,0,11,,,,,,,,,,El Carmen,C,3,CLEANING
193,1,54,103501,0,10,,,,,,,,,,El Carmen,C,3,CLEANING
194,1,11,103501,0,10,,,,,,,,,,Cayambe,B,6,CLEANING
195,1,9,103501,0,10,,,,,,,,,,Quito,B,6,CLEANING
196,1,54,103501,0,10,,,,,,,,,,El Carmen,C,3,CLEANING
197,1,15,103501,0,10,,,,,,,,,,Ibarra,C,15,CLEANING
198,1,10,103501,0,10,,,,,,,,,,Quito,C,15,CLEANING
199,1,11,103501,0,10,,,,,,,,,,Cayambe,B,6,CLEANING
200,1,33,103501,0,10,,,,,,,,,,Quevedo,C,3,CLEANING
201,1,14,103501,0,10,,,,,,,,,,Riobamba,C,7,CLEANING
202,1,17,103501,0,10,,,,,,,,,,Quito,C,12,CLEANING
203,1,33,103501,0,10,,,,,,,,,,Quevedo,C,3,CLEANING
204,1,9,103501,0,10,,,,,,,,,,Quito,B,6,CLEANING
205,1,14,103501,0,10,,,,,,,,,,Riobamba,C,7,CLEANING
206,1,30,103501,0,10,,,,,,,,,,Guayaquil,C,3,CLEANING
207,1,30,103501,0,10,,,,,,,,,,Guayaquil,C,3,CLEANING
208,1,40,103501,0,10,,,,,,,,,,Machala,C,3,CLEANING
209,1,15,103501,0,9,,,,,,,,,,Ibarra,C,15,CLEANING
210,1,15,103501,0,9,,,,,,,,,,Ibarra,C,15,CLEANING
211,1,31,103501,0,9,,,,,,,,,,Babahoyo,B,10,CLEANING
212,1,11,103501,0,9,,,,,,,,,,Cayambe,B,6,CLEANING
213,1,40,103501,0,9,,,,,,,,,,Machala,C,3,CLEANING
214,1,15,103501,0,9,,,,,,,,,,Ibarra,C,15,CLEANING
215,1,33,103501,0,9,,,,,,,,,,Quevedo,C,3,CLEANING
216,1,15,103501,0,9,,,,,,,,,,Ibarra,C,15,CLEANING
217,1,33,103501,0,9,,,,,,,,,,Quevedo,C,3,CLEANING
218,1,11,103501,0,9,,,,,,,,,,Cayambe,B,6,CLEANING
219,1,39,103501,0,9,,,,,,,,,,Cuenca,B,6,CLEANING
220,1,54,103501,0,9,,,,,,,,,,El Carmen,C,3,CLEANING
221,1,15,103501,0,9,,,,,,,,,,Ibarra,C,15,CLEANING
222,1,33,103501,0,9,,,,,,,,,,Quevedo,C,3,CLEANING
223,1,40,103501,0,9,,,,,,,,,,Machala,C,3,CLEANING
224,1,10,103501,0,9,,,,,,,,,,Quito,C,15,CLEANING
225,1,17,103501,0,9,,,,,,,,,,Quito,C,12,CLEANING
226,1,40,103501,0,9,,,,,,,,,,Machala,C,3,CLEANING
227,1,9,103501,0,9,,,,,,,,,,Quito,B,6,CLEANING
228,1,16,103501,0,9,,,,,,,,,,Santo Domingo,C,3,CLEANING
229,1,17,103501,0,9,,,,,,,,,,Quito,C,12,CLEANING
230,1,34,103501,0,9,,,,,,,,,,Guayaquil,B,6,CLEANING
231,1,39,103501,0,9,,,,,,,,,,Cuenca,B,6,CLEANING
232,1,40,103501,0,9,,,,,,,,,,Machala,C,3,CLEANING
233,1,11,103501,0,9,,,,,,,,,,Cayambe,B,6,CLEANING
234,1,14,103501,0,9,,,,,,,,,,Riobamba,C,7,CLEANING
235,1,33,103501,0,9,,,,,,,,,,Quevedo,C,3,CLEANING
236,1,10,103501,0,8,,,,,,,,,,Quito,C,15,CLEANING
237,1,31,103501,0,8,,,,,,,,,,Babahoyo,B,10,CLEANING
238,1,17,103501,0,8,,,,,,,,,,Quito,C,12,CLEANING
239,1,31,103501,0,8,,,,,,,,,,Babahoyo,B,10,CLEANING
240,1,40,103501,0,8,,,,,,,,,,Machala,C,3,CLEANING
241,1,14,103501,0,8,,,,,,,,,,Riobamba,C,7,CLEANING
242,1,43,103501,0,8,,,,,,,,,,Esmeraldas,E,10,CLEANING
243,1,13,103501,0,8,,,,,,,,,,Latacunga,C,15,CLEANING
244,1,17,103501,0,8,,,,,,,,,,Quito,C,12,CLEANING
245,1,39,103501,0,8,,,,,,,,,,Cuenca,B,6,CLEANING
246,1,15,103501,0,8,,,,,,,,,,Ibarra,C,15,CLEANING
247,1,9,103501,0,8,,,,,,,,,,Quito,B,6,CLEANING
248,1,54,103501,0,8,,,,,,,,,,El Carmen,C,3,CLEANING
249,1,19,103501,0,8,,,,,,,,,,Guaranda,C,15,CLEANING
250,1,15,103501,0,8,,,,,,,,,,Ibarra,C,15,CLEANING
251,1,40,103501,0,8,,,,,,,,,,Machala,C,3,CLEANING
252,1,9,103501,0,8,,,,,,,,,,Quito,B,6,CLEANING
253,1,33,103501,0,8,,,,,,,,,,Quevedo,C,3,CLEANING
254,1,10,103501,0,8,,,,,,,,,,Quito,C,15,CLEANING
255,1,17,103501,0,8,,,,,,,,,,Quito,C,12,CLEANING
256,1,15,103501,0,8,,,,,,,,,,Ibarra,C,15,CLEANING
257,1,31,103501,0,8,,,,,,,,,,Babahoyo,B,10,CLEANING
258,1,11,103501,0,8,,,,,,,,,,Cayambe,B,6,CLEANING
259,1,15,103501,0,8,,,,,,,,,,Ibarra,C,15,CLEANING
260,1,10,103501,0,8,,,,,,,,,,Quito,C,15,CLEANING
261,1,30,103501,0,8,,,,,,,,,,Guayaquil,C,3,CLEANING
262,1,17,103501,0,8,,,,,,,,,,Quito,C,12,CLEANING
263,1,39,103501,0,8,,,,,,,,,,Cuenca,B,6,CLEANING
264,1,12,103501,0,7,,,,,,,,,,Latacunga,C,15,CLEANING
265,1,10,103501,0,7,,,,,,,,,,Quito,C,15,CLEANING
266,1,12,103501,0,7,,,,,,,,,,Latacunga,C,15,CLEANING
267,1,39,103501,0,7,,,,,,,,,,Cuenca,B,6,CLEANING
268,1,28,103501,0,7,,,,,,,,,,Guayaquil,E,10,CLEANING
269,1,40,103501,0,7,,,,,,,,,,Machala,C,3,CLEANING
270,1,28,103501,0,7,,,,,,,,,,Guayaquil,E,10,CLEANING
271,1,10,103501,0,7,,,,,,,,,,Quito,C,15,CLEANING
272,1,39,103501,0,7,,,,,,,,,,Cuenca,B,6,CLEANING
273,1,40,103501,0,7,,,,,,,,,,Machala,C,3,CLEANING
274,1,12,103501,0,7,,,,,,,,,,Latacunga,C,15,CLEANING
275,1,54,103501,0,7,,,,,,,,,,El Carmen,C,3,CLEANING
276,1,11,103501,0,7,,,,,,,,,,Cayambe,B,6,CLEANING
277,1,9,103501,0,7,,,,,,,,,,Quito,B,6,CLEANING
278,1,11,103501,0,7,,,,,,,,,,Cayambe,B,6,CLEANING
279,1,12,103501,0,7,,,,,,,,,,Latacunga,C,15,CLEANING
280,1,11,103501,0,7,,,,,,,,,,Cayambe,B,6,CLEANING
281,1,31,103501,0,7,,,,,,,,,,Babahoyo,B,10,CLEANING
282,1,33,103501,0,7,,,,,,,,,,Quevedo,C,3,CLEANING
283,1,16,103501,0,7,,,,,,,,,,Santo Domingo,C,3,CLEANING
284,1,31,103501,0,7,,,,,,,,,,Babahoyo,B,10,CLEANING
285,1,16,103501,0,7,,,,,,,,,,Santo Domingo,C,3,CLEANING
286,1,30,103501,0,7,,,,,,,,,,Guayaquil,C,3,CLEANING
287,1,19,103501,0,7,,,,,,,,,,Guaranda,C,15,CLEANING
288,1,39,103501,0,7,,,,,,,,,,Cuenca,B,6,CLEANING
289,1,40,103501,0,7,,,,,,,,,,Machala,C,3,CLEANING
290,1,16,103501,0,7,,,,,,,,,,Santo Domingo,C,3,CLEANING
291,1,9,103501,0,7,,,,,,,,,,Quito,B,6,CLEANING
292,1,16,103501,0,7,,,,,,,,,,Santo Domingo,C,3,CLEANING
293,1,33,103501,0,7,,,,,,,,,,Quevedo,C,3,CLEANING
294,1,54,103501,0,7,,,,,,,,,,El Carmen,C,3,CLEANING
295,1,16,103501,0,7,,,,,,,,,,Santo Domingo,C,3,CLEANING
296,1,18,103501,0,7,,,,,,,,,,Quito,B,16,CLEANING
297,1,16,103501,0,7,,,,,,,,,,Santo Domingo,C,3,CLEANING
298,1,12,103501,0,7,,,,,,,,,,Latacunga,C,15,CLEANING
299,1,15,103501,0,7,,,,,,,,,,Ibarra,C,15,CLEANING
300,1,16,103501,0,7,,,,,,,,,,Santo Domingo,C,3,CLEANING
301,1,31,103501,0,7,,,,,,,,,,Babahoyo,B,10,CLEANING
302,1,33,103501,0,7,,,,,,,,,,Quevedo,C,3,CLEANING
303,1,34,103501,0,7,,,,,,,,,,Guayaquil,B,6,CLEANING
304,1,9,103501,0,7,,,,,,,,,,Quito,B,6,CLEANING
305,1,10,103501,0,7,,,,,,,,,,Quito,C,15,CLEANING
306,1,39,103501,0,7,,,,,,,,,,Cuenca,B,6,CLEANING
307,1,19,103501,0,6,,,,,,,,,,Guaranda,C,15,CLEANING
308,1,39,103501,0,6,,,,,,,,,,Cuenca,B,6,CLEANING
309,1,30,103501,0,6,,,,,,,,,,Guayaquil,C,3,CLEANING
310,1,35,103501,0,6,,,,,,,,,,Playas,C,3,CLEANING
311,1,13,103501,0,6,,,,,,,,,,Latacunga,C,15,CLEANING
312,1,15,103501,0,6,,,,,,,,,,Ibarra,C,15,CLEANING
313,1,33,103501,0,6,,,,,,,,,,Quevedo,C,3,CLEANING
314,1,39,103501,0,6,,,,,,,,,,Cuenca,B,6,CLEANING
315,1,28,103501,0,6,,,,,,,,,,Guayaquil,E,10,CLEANING
316,1,16,103501,0,6,,,,,,,,,,Santo Domingo,C,3,CLEANING
317,1,54,103501,0,6,,,,,,,,,,El Carmen,C,3,CLEANING
318,1,10,103501,0,6,,,,,,,,,,Quito,C,15,CLEANING
319,1,17,103501,0,6,,,,,,,,,,Quito,C,12,CLEANING
320,1,33,103501,0,6,,,,,,,,,,Quevedo,C,3,CLEANING
321,1,40,103501,0,6,,,,,,,,,,Machala,C,3,CLEANING
322,1,10,103501,0,6,,,,,,,,,,Quito,C,15,CLEANING
323,1,13,103501,0,6,,,,,,,,,,Latacunga,C,15,CLEANING
324,1,14,103501,0,6,,,,,,,,,,Riobamba,C,7,CLEANING
325,1,17,103501,0,6,,,,,,,,,,Quito,C,12,CLEANING
326,1,28,103501,0,6,,,,,,,,,,Guayaquil,E,10,CLEANING
327,1,11,103501,0,6,,,,,,,,,,Cayambe,B,6,CLEANING
328,1,34,103501,0,6,,,,,,,,,,Guayaquil,B,6,CLEANING
329,1,15,103501,0,6,,,,,,,,,,Ibarra,C,15,CLEANING
330,1,11,103501,0,6,,,,,,,,,,Cayambe,B,6,CLEANING
331,1,33,103501,0,6,,,,,,,,,,Quevedo,C,3,CLEANING
332,1,17,103501,0,6,,,,,,,,,,Quito,C,12,CLEANING
333,1,16,103501,0,6,,,,,,,,,,Santo Domingo,C,3,CLEANING
334,1,39,103501,0,6,,,,,,,,,,Cuenca,B,6,CLEANING
335,1,13,103501,0,6,,,,,,,,,,Latacunga,C,15,CLEANING
336,1,40,103501,0,6,,,,,,,,,,Machala,C,3,CLEANING
337,1,15,103501,0,6,,,,,,,,,,Ibarra,C,15,CLEANING
338,1,31,103501,0,6,,,,,,,,,,Babahoyo,B,10,CLEANING
339,1,14,103501,0,6,,,,,,,,,,Riobamba,C,7,CLEANING
340,1,18,103501,0,6,,,,,,,,,,Quito,B,16,CLEANING
341,1,31,103501,0,6,,,,,,,,,,Babahoyo,B,10,CLEANING
342,1,13,103501,0,6,,,,,,,,,,Latacunga,C,15,CLEANING
343,1,17,103501,0,6,,,,,,,,,,Quito,C,12,CLEANING
344,1,28,103501,0,6,,,,,,,,,,Guayaquil,E,10,CLEANING
345,1,33,103501,0,6,,,,,,,,,,Quevedo,C,3,CLEANING
346,1,40,103501,0,6,,,,,,,,,,Machala,C,3,CLEANING
347,1,9,103501,0,6,,,,,,,,,,Quito,B,6,CLEANING
348,1,14,103501,0,6,,,,,,,,,,Riobamba,C,7,CLEANING
349,1,40,103501,0,6,,,,,,,,,,Machala,C,3,CLEANING
350,1,15,103501,0,6,,,,,,,,,,Ibarra,C,15,CLEANING
351,1,43,103501,0,6,,,,,,,,,,Esmeraldas,E,10,CLEANING
352,1,34,103501,0,5,,,,,,,,,,Guayaquil,B,6,CLEANING
353,1,9,103501,0,5,,,,,,,,,,Quito,B,6,CLEANING
354,1,18,103501,0,5,,,,,,,,,,Quito,B,16,CLEANING
355,1,43,103501,0,5,,,,,,,,,,Esmeraldas,E,10,CLEANING
356,1,10,103501,0,5,,,,,,,,,,Quito,C,15,CLEANING
357,1,11,103501,0,5,,,,,,,,,,Cayambe,B,6,CLEANING
358,1,19,103501,0,5,,,,,,,,,,Guaranda,C,15,CLEANING
359,1,34,103501,0,5,,,,,,,,,,Guayaquil,B,6,CLEANING
360,1,9,103501,0,5,,,,,,,,,,Quito,B,6,CLEANING
361,1,30,103501,0,5,,,,,,,,,,Guayaquil,C,3,CLEANING
362,1,31,103501,0,5,,,,,,,,,,Babahoyo,B,10,CLEANING
363,1,32,103501,0,5,,,,,,,,,,Guayaquil,C,3,CLEANING
364,1,34,103501,0,5,,,,,,,,,,Guayaquil,B,6,CLEANING
365,1,11,103501,0,5,,,,,,,,,,Cayambe,B,6,CLEANING
366,1,28,103501,0,5,,,,,,,,,,Guayaquil,E,10,CLEANING
367,1,31,103501,0,5,,,,,,,,,,Babahoyo,B,10,CLEANING
368,1,10,103501,0,5,,,,,,,,,,Quito,C,15,CLEANING
369,1,39,103501,0,5,,,,,,,,,,Cuenca,B,6,CLEANING
370,1,43,103501,0,5,,,,,,,,,,Esmeraldas,E,10,CLEANING
371,1,14,103501,0,5,,,,,,,,,,Riobamba,C,7,CLEANING
372,1,15,103501,0,5,,,,,,,,,,Ibarra,C,15,CLEANING
373,1,19,103501,0,5,,,,,,,,,,Guaranda,C,15,CLEANING
374,1,40,103501,0,5,,,,,,,,,,Machala,C,3,CLEANING
375,1,16,103501,0,5,,,,,,,,,,Santo Domingo,C,3,CLEANING
376,1,40,103501,0,5,,,,,,,,,,Machala,C,3,CLEANING
377,1,12,103501,0,5,,,,,,,,,,Latacunga,C,15,CLEANING
378,1,15,103501,0,5,,,,,,,,,,Ibarra,C,15,CLEANING
379,1,13,103501,0,5,,,,,,,,,,Latacunga,C,15,CLEANING
380,1,28,103501,0,5,,,,,,,,,,Guayaquil,E,10,CLEANING
381,1,31,103501,0,5,,,,,,,,,,Babahoyo,B,10,CLEANING
382,1,34,103501,0,5,,,,,,,,,,Guayaquil,B,6,CLEANING
383,1,15,103501,0,5,,,,,,,,,,Ibarra,C,15,CLEANING
384,1,43,103501,0,5,,,,,,,,,,Esmeraldas,E,10,CLEANING
385,1,40,103501,0,5,,,,,,,,,,Machala,C,3,CLEANING
386,1,12,103501,0,5,,,,,,,,,,Latacunga,C,15,CLEANING
387,1,13,103501,0,5,,,,,,,,,,Latacunga,C,15,CLEANING
388,1,31,103501,0,5,,,,,,,,,,Babahoyo,B,10,CLEANING
389,1,14,103501,0,5,,,,,,,,,,Riobamba,C,7,CLEANING
390,1,28,103501,0,5,,,,,,,,,,Guayaquil,E,10,CLEANING
391,1,10,103501,0,5,,,,,,,,,,Quito,C,15,CLEANING
392,1,30,103501,0,5,,,,,,,,,,Guayaquil,C,3,CLEANING
393,1,11,103501,0,5,,,,,,,,,,Cayambe,B,6,CLEANING
394,1,14,103501,0,5,,,,,,,,,,Riobamba,C,7,CLEANING
395,1,40,103501,0,5,,,,,,,,,,Machala,C,3,CLEANING
396,1,19,103501,0,5,,,,,,,,,,Guaranda,C,15,CLEANING
397,1,10,103501,0,5,,,,,,,,,,Quito,C,15,CLEANING
398,1,14,103501,0,5,,,,,,,,,,Riobamba,C,7,CLEANING
399,1,31,103501,0,5,,,,,,,,,,Babahoyo,B,10,CLEANING
400,1,34,103501,0,5,,,,,,,,,,Guayaquil,B,6,CLEANING
401,1,19,103501,0,5,,,,,,,,,,Guaranda,C,15,CLEANING
402,1,15,103501,0,5,,,,,,,,,,Ibarra,C,15,CLEANING
403,1,40,103501,0,5,,,,,,,,,,Machala,C,3,CLEANING
404,1,9,103501,0,5,,,,,,,,,,Quito,B,6,CLEANING
405,1,54,103501,0,5,,,,,,,,,,El Carmen,C,3,CLEANING
406,1,11,103501,0,5,,,,,,,,,,Cayambe,B,6,CLEANING
407,1,15,103501,0,5,,,,,,,,,,Ibarra,C,15,CLEANING
408,1,16,103501,0,5,,,,,,,,,,Santo Domingo,C,3,CLEANING
409,1,54,103501,0,5,,,,,,,,,,El Carmen,C,3,CLEANING
410,1,13,103501,0,5,,,,,,,,,,Latacunga,C,15,CLEANING
411,1,32,103501,0,5,,,,,,,,,,Guayaquil,C,3,CLEANING
412,1,13,103501,0,5,,,,,,,,,,Latacunga,C,15,CLEANING
413,1,18,103501,0,5,,,,,,,,,,Quito,B,16,CLEANING
414,1,34,103501,0,5,,,,,,,,,,Guayaquil,B,6,CLEANING
415,1,35,103501,0,5,,,,,,,,,,Playas,C,3,CLEANING
416,1,14,103501,0,4,,,,,,,,,,Riobamba,C,7,CLEANING
417,1,18,103501,0,4,,,,,,,,,,Quito,B,16,CLEANING
418,1,28,103501,0,4,,,,,,,,,,Guayaquil,E,10,CLEANING
419,1,10,103501,0,4,,,,,,,,,,Quito,C,15,CLEANING
420,1,12,103501,0,4,,,,,,,,,,Latacunga,C,15,CLEANING
421,1,18,103501,0,4,,,,,,,,,,Quito,B,16,CLEANING
422,1,12,103501,0,4,,,,,,,,,,Latacunga,C,15,CLEANING
423,1,30,103501,0,4,,,,,,,,,,Guayaquil,C,3,CLEANING
424,1,39,103501,0,4,,,,,,,,,,Cuenca,B,6,CLEANING
425,1,43,103501,0,4,,,,,,,,,,Esmeraldas,E,10,CLEANING
426,1,13,103501,0,4,,,,,,,,,,Latacunga,C,15,CLEANING
427,1,43,103501,0,4,,,,,,,,,,Esmeraldas,E,10,CLEANING
428,1,13,103501,0,4,,,,,,,,,,Latacunga,C,15,CLEANING
429,1,28,103501,0,4,,,,,,,,,,Guayaquil,E,10,CLEANING
430,1,34,103501,0,4,,,,,,,,,,Guayaquil,B,6,CLEANING
431,1,40,103501,0,4,,,,,,,,,,Machala,C,3,CLEANING
432,1,12,103501,0,4,,,,,,,,,,Latacunga,C,15,CLEANING
433,1,13,103501,0,4,,,,,,,,,,Latacunga,C,15,CLEANING
434,1,17,103501,0,4,,,,,,,,,,Quito,C,12,CLEANING
435,1,43,103501,0,4,,,,,,,,,,Esmeraldas,E,10,CLEANING
436,1,17,103501,0,4,,,,,,,,,,Quito,C,12,CLEANING
437,1,30,103501,0,4,,,,,,,,,,Guayaquil,C,3,CLEANING
438,1,9,103501,0,4,,,,,,,,,,Quito,B,6,CLEANING
439,1,18,103501,0,4,,,,,,,,,,Quito,B,16,CLEANING
440,1,30,103501,0,4,,,,,,,,,,Guayaquil,C,3,CLEANING
441,1,43,103501,0,4,,,,,,,,,,Esmeraldas,E,10,CLEANING
442,1,10,103501,0,4,,,,,,,,,,Quito,C,15,CLEANING
443,1,34,103501,0,4,,,,,,,,,,Guayaquil,B,6,CLEANING
444,1,28,103501,0,4,,,,,,,,,,Guayaquil,E,10,CLEANING
445,1,39,103501,0,4,,,,,,,,,,Cuenca,B,6,CLEANING
446,1,9,103501,0,4,,,,,,,,,,Quito,B,6,CLEANING
447,1,17,103501,0,4,,,,,,,,,,Quito,C,12,CLEANING
448,1,11,103501,0,4,,,,,,,,,,Cayambe,B,6,CLEANING
449,1,13,103501,0,4,,,,,,,,,,Latacunga,C,15,CLEANING
450,1,16,103501,0,4,,,,,,,,,,Santo Domingo,C,3,CLEANING
451,1,32,103501,0,4,,,,,,,,,,Guayaquil,C,3,CLEANING
452,1,33,103501,0,4,,,,,,,,,,Quevedo,C,3,CLEANING
453,1,54,103501,0,4,,,,,,,,,,El Carmen,C,3,CLEANING
454,1,34,103501,0,4,,,,,,,,,,Guayaquil,B,6,CLEANING
455,1,13,103501,0,4,,,,,,,,,,Latacunga,C,15,CLEANING
456,1,19,103501,0,4,,,,,,,,,,Guaranda,C,15,CLEANING
457,1,30,103501,0,4,,,,,,,,,,Guayaquil,C,3,CLEANING
458,1,31,103501,0,4,,,,,,,,,,Babahoyo,B,10,CLEANING
459,1,33,103501,0,4,,,,,,,,,,Quevedo,C,3,CLEANING
460,1,39,103501,0,4,,,,,,,,,,Cuenca,B,6,CLEANING
461,1,43,103501,0,4,,,,,,,,,,Esmeraldas,E,10,CLEANING
462,1,54,103501,0,4,,,,,,,,,,El Carmen,C,3,CLEANING
463,1,15,103501,0,4,,,,,,,,,,Ibarra,C,15,CLEANING
464,1,30,103501,0,4,,,,,,,,,,Guayaquil,C,3,CLEANING
465,1,17,103501,0,4,,,,,,,,,,Quito,C,12,CLEANING
466,1,18,103501,0,4,,,,,,,,,,Quito,B,16,CLEANING
467,1,28,103501,0,4,,,,,,,,,,Guayaquil,E,10,CLEANING
468,1,30,103501,0,4,,,,,,,,,,Guayaquil,C,3,CLEANING
469,1,32,103501,0,4,,,,,,,,,,Guayaquil,C,3,CLEANING
470,1,35,103501,0,4,,,,,,,,,,Playas,C,3,CLEANING
471,1,43,103501,0,4,,,,,,,,,,Esmeraldas,E,10,CLEANING
472,1,30,103501,0,4,,,,,,,,,,Guayaquil,C,3,CLEANING
473,1,11,103501,0,4,,,,,,,,,,Cayambe,B,6,CLEANING
474,1,12,103501,0,4,,,,,,,,,,Latacunga,C,15,CLEANING
475,1,13,103501,0,4,,,,,,,,,,Latacunga,C,15,CLEANING
476,1,32,103501,0,4,,,,,,,,,,Guayaquil,C,3,CLEANING
477,1,43,103501,0,4,,,,,,,,,,Esmeraldas,E,10,CLEANING
478,1,39,103501,0,4,,,,,,,,,,Cuenca,B,6,CLEANING
479,1,43,103501,0,4,,,,,,,,,,Esmeraldas,E,10,CLEANING
480,1,10,103501,0,4,,,,,,,,,,Quito,C,15,CLEANING
481,1,33,103501,0,4,,,,,,,,,,Quevedo,C,3,CLEANING
482,1,15,103501,0,4,,,,,,,,,,Ibarra,C,15,CLEANING
483,1,18,103501,0,4,,,,,,,,,,Quito,B,16,CLEANING
484,1,31,103501,0,4,,,,,,,,,,Babahoyo,B,10,CLEANING
485,1,33,103501,0,4,,,,,,,,,,Quevedo,C,3,CLEANING
486,1,34,103501,0,4,,,,,,,,,,Guayaquil,B,6,CLEANING
487,1,9,103501,0,4,,,,,,,,,,Quito,B,6,CLEANING
488,1,10,103501,0,4,,,,,,,,,,Quito,C,15,CLEANING
489,1,28,103501,0,4,,,,,,,,,,Guayaquil,E,10,CLEANING
490,1,35,103501,0,4,,,,,,,,,,Playas,C,3,CLEANING
491,1,28,103501,0,4,,,,,,,,,,Guayaquil,E,10,CLEANING
492,1,30,103501,0,3,,,,,,,,,,Guayaquil,C,3,CLEANING
493,1,43,103501,0,3,,,,,,,,,,Esmeraldas,E,10,CLEANING
494,1,34,103501,0,3,,,,,,,,,,Guayaquil,B,6,CLEANING
495,1,18,103501,0,3,,,,,,,,,,Quito,B,16,CLEANING
496,1,35,103501,0,3,,,,,,,,,,Playas,C,3,CLEANING
497,1,13,103501,0,3,,,,,,,,,,Latacunga,C,15,CLEANING
498,1,34,103501,0,3,,,,,,,,,,Guayaquil,B,6,CLEANING
499,1,12,103501,0,3,,,,,,,,,,Latacunga,C,15,CLEANING
500,1,17,103501,0,3,,,,,,,,,,Quito,C,12,CLEANING
501,1,18,103501,0,3,,,,,,,,,,Quito,B,16,CLEANING
502,1,9,103501,0,3,,,,,,,,,,Quito,B,6,CLEANING
